
=== START 2026-03-08 02:39:09 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNCAAMBSPREAD-26MAR07SEAPAC-PAC1 --yes-budget-cents 500 --no-budget-cents 500
02:39:10 INFO START | environment=PROD ticker=KXNCAAMBSPREAD-26MAR07SEAPAC-PAC1 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
02:39:10 INFO STARTUP_POSITION | contracts=0.00
02:39:10 INFO WS_CONNECTED_AND_SUBSCRIBED
02:39:10 INFO CREATE_OK | side=yes price_dollars=0.4700 remaining_contracts=10.00 order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6
02:39:10 INFO CREATE_OK | side=no price_dollars=0.5000 remaining_contracts=9.00 order_id=7572c636-273f-4bc2-984b-e0cc688e84eb
02:39:11 INFO AMEND_OK | side=yes price_dollars=0.4600 total_fillable_contracts=10.00 order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6
02:39:11 INFO AMEND_OK | side=no price_dollars=0.4900 total_fillable_contracts=10.00 order_id=7572c636-273f-4bc2-984b-e0cc688e84eb
02:39:25 INFO QUEUE_POSITION | side=yes order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6 ahead_contracts=9200.00
02:39:25 INFO QUEUE_POSITION | side=no order_id=7572c636-273f-4bc2-984b-e0cc688e84eb ahead_contracts=3478.00
02:39:40 INFO QUEUE_POSITION | side=yes order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6 ahead_contracts=9200.00
02:39:40 INFO QUEUE_POSITION | side=no order_id=7572c636-273f-4bc2-984b-e0cc688e84eb ahead_contracts=3478.00
02:39:55 INFO QUEUE_POSITION | side=yes order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6 ahead_contracts=9200.00
02:39:55 INFO QUEUE_POSITION | side=no order_id=7572c636-273f-4bc2-984b-e0cc688e84eb ahead_contracts=3478.00
02:40:09 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=7572c636-273f-4bc2-984b-e0cc688e84eb
02:40:09 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6
02:40:09 INFO CANCEL_SKIPPED_ORDER_MISSING | side=yes reason=refresh_expiring_quote order_id=61225bb3-ddd4-4ca1-94e6-8dabaf59baf6
02:40:10 INFO CREATE_OK | side=yes price_dollars=0.4600 remaining_contracts=10.00 order_id=28326131-d572-4341-9910-23e4c863d14b
02:40:10 INFO CREATE_OK | side=no price_dollars=0.5000 remaining_contracts=9.00 order_id=1e79c482-4e74-4f0f-9ace-edc146a157ee
