
=== START 2026-03-07 21:03:14 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXAAAGASW-26MAR09-3.52 --yes-budget-cents 200 --no-budget-cents 200
21:03:15 INFO START | environment=PROD ticker=KXAAAGASW-26MAR09-3.52 yes_budget_cents=200 no_budget_cents=200 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
21:03:15 INFO STARTUP_POSITION | contracts=0.00
21:03:15 INFO WS_CONNECTED_AND_SUBSCRIBED
21:03:15 INFO CREATE_OK | side=yes price_dollars=0.3900 remaining_contracts=5.00 order_id=6405080c-fc2f-42a7-8b0c-4963f15a0d23
21:03:15 INFO CREATE_OK | side=no price_dollars=0.5800 remaining_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:16 INFO AMEND_OK | side=yes price_dollars=0.3800 total_fillable_contracts=5.00 order_id=6405080c-fc2f-42a7-8b0c-4963f15a0d23
21:03:16 INFO AMEND_OK | side=no price_dollars=0.5700 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:17 INFO AMEND_OK | side=no price_dollars=0.5600 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:19 INFO AMEND_OK | side=no price_dollars=0.5700 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:21 INFO AMEND_OK | side=no price_dollars=0.5600 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:30 INFO AMEND_OK | side=no price_dollars=0.5700 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:32 INFO AMEND_OK | side=no price_dollars=0.5600 total_fillable_contracts=3.00 order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:56 INFO CANCEL_REQUESTED | side=yes reason=refresh_expiring_quote order_id=6405080c-fc2f-42a7-8b0c-4963f15a0d23
21:03:56 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=6405080c-fc2f-42a7-8b0c-4963f15a0d23
21:03:56 INFO CREATE_OK | side=yes price_dollars=0.3700 remaining_contracts=5.00 order_id=f15917a8-1fbb-4f06-a000-6c294b25091a
21:03:56 INFO CANCEL_REQUESTED | side=no reason=refresh_expiring_quote order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:56 INFO CREATE_OK | side=no price_dollars=0.5600 remaining_contracts=3.00 order_id=7097edf0-d80a-44fa-b5f8-69b043bf1773
21:03:56 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=1f5c0b1f-44df-48d0-b83a-eec247eb40cd
21:03:56 INFO AMEND_OK | side=no price_dollars=0.5700 total_fillable_contracts=3.00 order_id=7097edf0-d80a-44fa-b5f8-69b043bf1773
21:03:56 INFO AMEND_OK | side=no price_dollars=0.5600 total_fillable_contracts=3.00 order_id=7097edf0-d80a-44fa-b5f8-69b043bf1773
